Mission1,missionLast,Crew,pirateId,missionCount,missionHours,pirateLevel,age,Occupation,dayOrNight,crewSatisfactionAvg,State,crewmemberDied
14610,16086,1,153,47,287,3,18,Working,night_shift,99,oregon,0
14610,17352,1,154,92,551,5,40,Working,NA,91,mo,0
14610,16072,1,155,48,283,3,54,Other,night_shift,88,alabama,0
14610,16881,1,156,75,449,4,27,Other,NA,91,az,0
14610,15630,1,157,32,192,NA,26,Student,night_shift,NA,tn,0
14610,17927,1,158,109,658,5,67,Retired,either_shift,47,ms,0
14610,17905,1,159,111,664,5,22,Working,night_shift,88,virginia,0
14610,16190,1,160,52,308,4,59,Working,NA,91,wy,0
14610,15119,1,161,15,87,2,20,Student,night_shift,85,ne,0
14610,17983,1,162,NA,664,NA,38,Other,night_shift,90,washington,0
14610,14915,1,163,8,50,1,63,Working,night_shift,91,kansas,0
14610,16561,1,164,66,392,4,42,Retired,day_shift,NA,mn,0
14610,17845,1,165,109,656,5,28,Working,night_shift,89,maryland,0
14610,14622,1,166,1,5,1,29,Working,day_shift,69,district of columbia,0
14610,16352,1,167,58,347,4,52,Working,night_shift,88,colorado,0
14610,17870,1,168,109,656,5,20,Working,night_shift,83,arizona,0
14610,16025,1,169,48,287,3,NA,Working,night_shift,97,mississippi,0
14610,16527,1,170,64,379,4,71,NA,night_shift,89,alaska,0
14610,16127,1,171,52,307,4,18,Student,night_shift,86,florida,0
14610,17681,1,172,101,602,5,29,Working,day_shift,87,sc,0
14610,18437,1,173,129,775,6,23,Working,night_shift,77,west virginia,1
14610,17736,1,174,105,632,5,26,Working,night_shift,86,me,0
14610,15578,1,175,32,194,3,51,Working,night_shift,93,ok,0
14610,15014,1,176,12,72,2,41,Working,day_shift,32,ma,0
14610,15016,1,177,12,74,2,20,Working,night_shift,100,nm,0
14610,15454,1,178,28,165,2,29,Other,night_shift,85,south dakota,0
14610,18383,1,179,126,753,6,23,Working,night_shift,94,ma,0
14610,14967,1,180,13,78,2,51,Working,day_shift,87,montana,0
14610,15137,1,181,18,106,2,40,Working,either_shift,93,de,0
14610,17166,1,182,86,511,NA,48,Working,night_shift,86,de,0
14610,15249,1,183,21,123,2,32,Working,night_shift,98,delaware,0
14610,16410,1,184,62,367,4,45,Working,night_shift,91,wa,0
14610,17781,1,185,108,646,NA,25,Student,night_shift,100,georgia,0
14610,17986,1,186,113,680,5,74,Working,night_shift,25,wyoming,0
14610,18451,1,187,127,763,6,36,Student,night_shift,93,new mexico,0
14610,17742,1,188,105,634,5,21,Student,night_shift,94,ohio,0
14610,18272,1,189,124,747,6,27,Other,NA,87,south dakota,0
14610,15601,1,190,33,201,3,19,Student,night_shift,11,wa,0
14610,17615,1,191,101,606,5,23,Working,night_shift,86,west virginia,0
14610,18456,1,192,130,781,6,52,Working,NA,71,oregon,0
14610,17821,1,193,106,631,5,29,Working,day_shift,85,nm,0
14610,16798,1,194,73,439,4,22,Working,night_shift,93,connecticut,0
14610,15282,1,195,20,116,2,59,Working,night_shift,86,new mexico,0
14610,15217,1,196,18,109,2,54,Working,NA,32,NA,0
14610,18163,1,197,120,725,5,26,Working,night_shift,91,west virginia,0
14610,15862,1,198,41,245,3,30,Working,NA,47,arkansas,0
14610,NA,1,199,79,471,4,45,Working,night_shift,85,virginia,0
14610,18305,1,200,124,749,6,30,Working,night_shift,89,indiana,0
14610,15127,1,201,16,94,2,19,Student,night_shift,2,minnesota,0
14610,17533,1,202,98,584,5,18,Student,night_shift,96,west virginia,0
14610,17113,1,203,81,485,5,53,Working,night_shift,92,nevada,1
14610,15875,1,204,41,251,3,40,Working,NA,18,north carolina,0
14610,15686,1,205,37,219,3,58,Other,night_shift,7,wa,0
14610,16502,1,206,64,383,4,25,Working,night_shift,85,in,0
14610,15216,1,207,22,128,NA,68,Working,night_shift,94,nevada,0
14610,15426,1,208,25,NA,2,57,NA,NA,97,vt,0
14610,17689,1,209,105,625,5,NA,Student,NA,91,or,0
14610,16715,1,210,71,431,4,30,NA,NA,99,west virginia,0
14610,14737,1,211,3,13,NA,28,Working,either_shift,55,louisiana,0
14610,16119,1,212,51,305,4,20,Student,night_shift,96,west virginia,0
14610,16136,1,213,49,298,3,48,Retired,NA,89,la,0
14610,17122,1,214,84,509,NA,28,Working,day_shift,62,sc,0
14610,15837,1,215,41,251,3,25,Working,night_shift,91,kansas,0
14610,16120,1,216,49,291,3,22,Working,night_shift,96,hi,0
14610,17249,1,217,87,524,5,20,Student,night_shift,41,me,NA
14610,18318,1,218,122,735,6,51,Working,night_shift,94,ky,0
14610,16999,1,219,80,479,4,32,Student,day_shift,89,sd,0
14610,17122,1,220,86,513,5,42,Working,night_shift,95,ma,0
14610,16521,1,221,65,388,4,26,Student,night_shift,83,oklahoma,0
14610,14729,1,222,6,41,1,45,Working,night_shift,99,tx,0
14610,16087,1,223,50,295,3,73,Working,NA,89,fl,1
14610,14748,1,224,7,42,1,42,Other,night_shift,92,illinois,0
14610,17511,1,225,97,582,5,18,Student,day_shift,29,minnesota,0
14641,17651,2,226,100,596,5,40,Working,day_shift,87,ga,0
14641,16659,2,227,65,386,4,59,Student,night_shift,92,al,1
14641,14749,2,228,3,19,1,28,Working,night_shift,90,new york,0
14641,14916,2,229,9,56,1,47,Working,night_shift,87,arkansas,0
14641,17334,2,230,88,523,5,21,Student,day_shift,91,north dakota,0
14641,14835,2,231,8,44,1,54,Student,night_shift,NA,dc,0
14641,14797,2,232,4,28,1,45,Working,night_shift,94,vt,0
14641,16818,2,233,75,450,4,23,Working,night_shift,85,az,0
14641,14696,2,234,3,18,1,47,Working,night_shift,93,west virginia,0
14641,16307,2,235,58,351,4,45,Working,NA,85,wisconsin,0
14641,16827,2,236,74,447,4,43,Retired,day_shift,88,wy,0
14641,15493,2,237,29,176,2,20,Student,night_shift,87,ar,1
14641,15487,2,238,28,173,2,18,Student,day_shift,86,mo,0
14641,15386,2,239,23,142,2,37,Working,night_shift,45,vermont,0
14641,17103,2,240,83,499,5,25,Working,night_shift,95,montana,0
14641,14875,2,241,10,59,1,48,Working,night_shift,98,rhode island,0
14641,15829,2,242,39,237,3,56,Working,day_shift,100,indiana,0
14641,18481,2,243,127,763,6,30,Working,night_shift,89,wa,0
14641,14749,2,244,5,29,1,70,Working,night_shift,96,ct,0
14641,14914,2,245,8,49,1,39,Working,NA,96,alabama,0
14641,14995,2,246,10,58,1,61,Student,night_shift,94,ks,0
14641,18126,2,247,116,691,5,30,NA,night_shift,100,fl,0
14641,17483,2,248,97,581,5,45,Working,night_shift,87,fl,0
14641,17903,2,249,108,653,5,23,Working,night_shift,96,rhode island,0
14641,16217,2,250,51,309,4,41,Working,day_shift,85,maryland,0
14641,16338,2,251,55,332,4,56,Working,NA,87,south carolina,0
14641,14715,2,252,3,17,1,41,Retired,day_shift,86,oklahoma,0
14641,14899,2,253,7,44,1,30,Working,night_shift,37,illinois,0
14641,17161,2,254,86,519,5,33,Working,night_shift,89,west virginia,0
14641,16100,2,255,50,298,3,29,Working,night_shift,22,az,0
14641,16135,2,256,52,314,4,64,Retired,day_shift,90,in,0
14641,15027,2,257,14,79,2,47,Student,night_shift,99,new jersey,0
14641,17582,2,258,98,588,5,29,Other,night_shift,84,west virginia,0
14641,15917,2,259,43,259,3,65,Retired,either_shift,95,pennsylvania,0
14641,15799,2,260,40,237,NA,58,NA,NA,89,virginia,0
14641,17204,2,261,86,517,5,70,Retired,either_shift,94,north carolina,0
14641,17966,2,262,109,656,5,23,Working,day_shift,99,tx,0
14641,15780,2,263,38,224,3,28,Working,night_shift,87,de,0
14641,16948,2,264,77,461,4,75,Working,night_shift,100,dc,0
14641,15753,2,265,37,220,3,19,Student,either_shift,85,ks,0
14641,14735,2,266,1,10,1,59,Working,night_shift,NA,dc,0
14641,16613,2,267,66,394,4,72,Working,night_shift,90,minnesota,0
14641,15367,2,268,25,145,2,18,Student,either_shift,34,illinois,0
14641,15088,2,269,16,97,2,21,Student,day_shift,96,hawaii,0
14641,15218,2,270,20,115,2,48,Working,night_shift,89,ky,0
14641,16458,2,271,62,367,4,24,Working,day_shift,86,ga,0
14641,15298,2,272,21,126,2,70,Student,night_shift,NA,wyoming,0
14641,16590,2,273,67,406,4,38,Working,day_shift,NA,ak,0
14641,15836,2,274,41,242,3,30,Working,either_shift,6,florida,0
14641,15552,2,275,32,192,3,34,Working,day_shift,100,kansas,0
14641,15956,2,276,46,271,3,26,Working,night_shift,97,dc,0
14641,15740,2,277,36,213,3,20,Student,night_shift,NA,mississippi,0
14641,15852,2,278,41,247,3,56,Working,night_shift,87,west virginia,0
14641,16005,2,279,43,258,3,29,Working,night_shift,NA,north dakota,0
14641,17255,2,280,89,530,5,33,Working,day_shift,92,tx,0
14641,16874,2,281,76,454,4,56,Other,night_shift,86,mo,0
14641,15334,NA,282,23,137,2,25,NA,night_shift,97,nebraska,0
14641,17383,2,283,92,550,5,24,Working,either_shift,97,ct,0
14641,14740,2,284,1,11,1,27,NA,night_shift,97,nm,0
14641,15834,2,285,41,246,3,25,Working,night_shift,75,north carolina,0
14641,16469,2,286,60,364,4,20,Working,NA,98,north carolina,0
14641,16666,2,287,68,405,4,64,Student,night_shift,85,ok,0
14641,16877,2,288,73,434,4,47,Working,night_shift,99,florida,0
14641,17204,2,289,87,520,5,25,Working,night_shift,95,de,0
14641,14665,2,290,1,1,1,47,Working,day_shift,89,mt,0
14641,16268,2,291,53,320,4,28,Working,night_shift,NA,louisiana,0
14641,18429,2,292,127,766,6,39,Working,night_shift,86,oh,1
14641,17373,2,293,90,544,5,24,Working,either_shift,90,south dakota,0
14641,17960,2,294,110,657,5,26,Student,night_shift,88,texas,0
NA,15950,2,295,44,264,3,65,Retired,day_shift,87,al,0
14641,15342,2,296,24,140,2,44,Retired,day_shift,15,new jersey,0
14641,17756,2,297,104,629,5,67,Retired,day_shift,92,mi,0
14641,16126,2,298,51,311,4,53,Working,night_shift,90,maryland,0
14641,17256,2,299,87,526,6,25,Working,night_shift,98,in,0
14641,16494,2,300,64,384,NA,46,Retired,day_shift,94,missouri,0
14641,18148,2,301,118,707,5,45,Other,night_shift,87,tx,0
14641,15486,2,302,27,165,2,42,Working,night_shift,94,ak,0
14641,16595,2,303,66,398,4,63,Working,day_shift,87,co,0
14641,16820,2,304,71,424,4,33,Working,night_shift,92,ar,0
14641,16567,2,305,66,396,4,50,Working,night_shift,87,west virginia,0
14641,17395,2,306,90,539,5,61,Working,either_shift,86,ct,0
14641,16250,2,307,52,313,4,18,Student,either_shift,81,oh,0
14641,15692,2,308,35,206,3,34,Working,night_shift,9,id,0
14641,16164,2,309,52,312,4,35,Working,day_shift,95,nj,0
14641,17653,2,310,102,615,5,72,Working,night_shift,2,wisconsin,0
14641,15175,2,311,20,118,2,27,Working,day_shift,90,ca,0
14641,17430,2,312,94,NA,5,51,Working,night_shift,98,nv,0
14641,17292,2,313,87,519,5,35,Working,night_shift,92,louisiana,0
14641,17904,2,314,110,661,5,21,Student,day_shift,95,wisconsin,0
14641,17922,2,315,109,658,5,26,Working,night_shift,47,connecticut,0
14641,14972,2,316,12,71,2,34,Working,day_shift,93,louisiana,0
14641,15069,2,317,16,94,2,62,Working,night_shift,100,pennsylvania,0
14641,17307,2,318,88,532,5,45,Working,day_shift,88,wyoming,0
14641,15851,2,319,38,230,4,21,Student,night_shift,15,il,0
14641,17567,2,320,99,590,5,37,Working,either_shift,99,north carolina,0
14641,17774,2,321,103,615,5,66,Retired,day_shift,NA,tx,0
14641,16095,2,322,46,272,3,51,Working,NA,90,south carolina,0
14641,16681,2,323,66,394,4,20,Student,night_shift,99,me,0
14641,15830,2,324,40,235,3,74,Retired,day_shift,27,vt,0
14641,17432,2,325,91,548,5,50,Retired,NA,86,ma,0
14641,16423,2,326,61,367,4,53,Working,night_shift,91,id,0
14641,17928,2,327,110,664,5,21,Student,night_shift,36,nj,0
14641,18240,2,328,120,722,5,25,Working,night_shift,100,ia,0
14641,14658,2,329,1,8,1,23,Working,night_shift,92,south dakota,0
14641,16602,2,330,64,386,4,45,Working,either_shift,91,ga,0
14641,18341,2,331,121,728,6,31,Working,night_shift,20,illinois,1
14641,15066,2,332,12,74,2,29,Working,night_shift,44,oh,0
14641,18267,2,333,119,719,5,70,Retired,day_shift,97,mt,1
14641,16124,2,334,47,287,3,18,Student,night_shift,99,colorado,0
14641,15282,2,335,22,130,2,33,Working,day_shift,86,wyoming,0
14641,14899,2,336,11,71,2,24,Working,night_shift,85,california,0
14641,18462,2,337,127,761,NA,26,Working,night_shift,98,arkansas,0
14641,18091,2,338,116,698,5,44,Working,night_shift,93,sc,0
14641,15894,2,339,44,263,3,42,Working,night_shift,92,ia,0
14641,17985,2,340,112,676,5,22,Working,NA,88,in,0
14641,16889,2,341,74,441,4,25,Working,day_shift,100,de,0
14641,15733,2,342,34,207,3,20,Student,day_shift,74,ca,0
14641,17491,2,343,96,572,5,45,Working,night_shift,96,nebraska,0
14641,16508,2,344,61,364,4,38,Other,night_shift,99,ny,0
14641,18271,2,345,119,718,5,44,Working,night_shift,46,pa,0
14641,17731,2,346,103,613,5,34,Student,night_shift,93,nc,0
14641,15444,2,347,28,170,2,30,Student,night_shift,9,hi,0
14641,17762,2,348,105,629,5,54,Working,night_shift,99,hawaii,0
14641,17519,2,349,97,580,5,23,Student,night_shift,94,ri,0
14641,14959,2,350,13,74,2,53,Retired,day_shift,92,de,0
14641,15840,2,351,42,257,3,41,Working,NA,86,arizona,0
14641,15016,2,352,13,77,2,20,Student,day_shift,92,me,0
14641,15121,2,353,14,81,2,30,NA,night_shift,57,id,0
14641,17505,2,354,96,576,NA,21,Student,night_shift,98,al,0
14641,18455,2,355,129,775,6,26,Working,day_shift,7,kansas,0
14641,16693,2,356,66,398,4,32,Working,day_shift,100,NA,0
14641,17583,2,357,97,586,5,28,Working,day_shift,58,new mexico,0
14641,15746,NA,358,37,226,3,30,Working,night_shift,92,montana,0
14641,16598,2,359,67,400,4,43,Working,night_shift,85,pennsylvania,0
14641,18405,2,360,126,758,6,71,Retired,either_shift,88,wy,0
14641,16364,2,361,58,343,4,25,Working,night_shift,88,delaware,0
14641,16940,2,362,76,461,4,20,Working,day_shift,100,co,0
14641,17309,2,363,88,526,5,30,Working,day_shift,92,district of columbia,0
14641,17213,2,364,88,526,5,40,Working,day_shift,86,ak,0
14641,16768,2,365,70,425,4,21,Student,night_shift,94,ms,0
14641,17317,2,366,90,545,5,32,Other,day_shift,88,wa,0
14641,15383,2,367,23,141,2,68,Working,NA,98,south carolina,0
14641,18183,2,368,117,699,5,26,Working,night_shift,89,ks,0
14641,18403,2,369,126,755,NA,28,Working,day_shift,99,ks,0
14641,16602,2,370,66,395,4,39,Student,NA,86,hawaii,0
14641,18449,2,371,126,751,6,70,Other,either_shift,NA,massachusetts,0
NA,15898,2,372,40,239,3,67,Other,night_shift,15,oklahoma,0
14641,15911,2,373,41,248,3,46,NA,night_shift,85,ca,0
14641,17505,2,374,97,579,5,73,Working,night_shift,100,arizona,0
14641,17876,2,375,106,640,5,NA,NA,night_shift,14,nj,0
14641,18083,2,376,117,701,5,33,Working,night_shift,31,rhode island,0
14641,14746,2,377,5,28,1,42,Working,night_shift,49,wv,1
14641,16322,2,378,55,328,4,22,Working,night_shift,90,ny,0
14641,15627,2,379,33,203,3,26,Working,day_shift,95,tx,0
14641,15938,2,380,41,249,3,26,Working,NA,49,wyoming,0
14641,14702,2,381,0,0,1,52,Other,night_shift,97,nd,0
14641,18418,2,382,128,768,6,25,Working,night_shift,NA,kansas,0
14641,16311,2,383,58,353,4,20,Student,night_shift,21,missouri,0
14641,16687,2,384,67,401,4,24,Working,night_shift,90,new hampshire,0
14641,16604,2,385,65,394,4,27,Working,night_shift,88,va,0
14641,18045,2,386,113,683,5,24,Working,night_shift,87,north carolina,1
14641,15646,2,387,34,206,3,18,Other,day_shift,NA,wyoming,0
14641,15346,2,388,26,156,2,59,Working,night_shift,60,ms,0
14641,15393,2,389,25,145,2,18,Other,night_shift,87,new mexico,0
14641,15584,2,390,30,181,2,19,Student,night_shift,51,al,0
14641,18344,2,391,121,731,6,37,Working,night_shift,1,new jersey,0
14641,15141,2,392,16,95,2,26,Student,night_shift,NA,nh,0
14641,16569,2,393,62,376,4,30,Working,night_shift,22,new jersey,0
14641,15295,2,394,21,122,2,21,Working,night_shift,86,west virginia,0
14641,15316,2,395,20,123,2,57,Working,night_shift,90,ar,0
14641,17031,2,396,82,497,5,68,Retired,either_shift,96,la,0
14641,14946,2,397,11,70,2,23,Working,either_shift,95,or,0
14641,16842,2,398,75,451,4,24,Other,night_shift,NA,NA,0
14641,18225,2,399,119,716,5,63,Working,NA,93,nm,0
14641,16165,2,400,50,303,3,21,Student,night_shift,38,ky,0
14641,17230,2,401,86,511,NA,50,Working,NA,80,kansas,0
14641,16188,2,402,50,295,3,26,Student,day_shift,58,la,0
14641,15219,2,403,18,109,2,56,Student,night_shift,99,mt,0
14641,15464,2,404,28,170,2,44,Other,night_shift,95,or,0
NA,14822,2,405,8,46,1,25,Working,night_shift,86,california,0
14641,15943,2,406,NA,268,3,23,Working,night_shift,98,arizona,0
14641,15228,2,407,21,122,2,NA,Working,night_shift,78,pa,0
14641,17576,2,408,98,NA,5,52,Working,night_shift,93,alaska,0
14641,17858,2,409,107,641,5,22,Other,night_shift,NA,nm,0
14641,15723,2,410,37,220,3,45,Working,either_shift,94,missouri,0
14641,17940,2,411,110,661,5,36,Working,night_shift,95,wisconsin,0
14641,18430,2,412,127,761,6,27,Student,night_shift,99,wy,0
